"vnum"	"name"	"locale_name"	"rank"	"type"	"battle_type"	"level"	"size"	"ai_flag"	"mount_capacity"	"setRaceFlag"	"setImmuneFlag"	"empire"	"folder"	"on_click"	"st"	"dx"	"ht"	"iq"	"damage_min"	"damage_max"	"max_hp"	"regen_cycle"	"regen_percent"	"gold_min"	"gold_max"	"exp"	"def"	"attack_speed"	"move_speed"	"aggressive_hp_pct"	"aggressive_sight"	"attack_range"	"drop_item"	"resurrection_vnum"	"enchant_curse"	"enchant_slow"	"enchant_poison"	"enchant_stun"	"enchant_critical"	"enchant_penetrate"	"enchant_fire"	"enchant_root"	"resist_sword"	"resist_twohand"	"resist_dagger"	"resist_bell"	"resist_fan"	"resist_bow"	"resist_fire"	"resist_elect"	"resist_magic"	"resist_wind"	"resist_poison"	"dam_multiply"	"summon"	"drain_sp"	"mob_color"	"polymorph_item"	"skill_level0"	"skill_vnum0"	"skill_level1"	"skill_vnum1"	"skill_level2"	"skill_vnum2"	"skill_level3"	"skill_vnum3"	"skill_level4"	"skill_vnum4"	"sp_berserk"	"sp_stoneskin"	"sp_godspeed"	"sp_deathblow"	"sp_revive"	"fraction"
"111"	"???"	"Niedźw. Grizzly"	"1"	"0"	"5"	"15"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"bear"	"0"	"14"	"17"	"34"	"6"	"44"	"53"	"572"	"6"	"7"	"85"	"127"	"220"	"19"	"100"	"100"	"40"	"2000"	"175"	"30071"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"112"	"???"	"Czar. Niedźw."	"0"	"0"	"4"	"19"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"bear"	"0"	"36"	"14"	"21"	"7"	"50"	"62"	"624"	"6"	"7"	"69"	"104"	"385"	"24"	"100"	"100"	"40"	"2000"	"175"	"30053"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"70104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"113"	"??"	"Brąz. Niedźw."	"1"	"0"	"4"	"21"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"bear"	"0"	"35"	"15"	"23"	"8"	"54"	"66"	"845"	"6"	"12"	"112"	"168"	"510"	"26"	"100"	"100"	"40"	"2000"	"175"	"30072"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.4"	"0"	"0"	"0"	"70104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"114"	"???"	"Tygrys"	"0"	"0"	"4"	"18"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"tiger"	"0"	"18"	"20"	"27"	"7"	"49"	"60"	"585"	"6"	"12"	"66"	"98"	"365"	"22"	"100"	"100"	"50"	"2000"	"175"	"30038"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"70104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"115"	"??"	"Biały Tygrys"	"1"	"0"	"4"	"24"	"NONE"	"AGGR"	"0"	"ANIMAL"	""	"0"	"tiger"	"0"	"25"	"17"	"45"	"9"	"59"	"72"	"1007"	"10"	"22"	"126"	"188"	"582"	"29"	"100"	"130"	"50"	"2000"	"175"	"30023"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"131"	"???? ??"	"Przeklęty Wilk"	"2"	"0"	"0"	"8"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"wolf"	"0"	"16"	"16"	"31"	"8"	"32"	"39"	"435"	"6"	"7"	"67"	"102"	"198"	"12"	"100"	"120"	"100"	"2000"	"175"	"30028"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.8"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"132"	"???? ????"	"Przeklęty Alfa Wilk"	"3"	"0"	"0"	"9"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"wolf"	"0"	"23"	"24"	"31"	"8"	"33"	"41"	"743"	"6"	"7"	"90"	"136"	"444"	"13"	"100"	"120"	"100"	"2000"	"175"	"30069"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"133"	"???? ????"	"Przeklęty Nieb. Wilk"	"2"	"0"	"0"	"11"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"wolf"	"0"	"16"	"16"	"32"	"8"	"37"	"45"	"564"	"6"	"7"	"87"	"130"	"270"	"15"	"100"	"120"	"100"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.8"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"134"	"???? ?? ????"	"Przekl. Nieb. Alfa Wilk"	"3"	"0"	"0"	"14"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"wolf"	"0"	"24"	"33"	"32"	"8"	"42"	"51"	"1110"	"6"	"7"	"130"	"196"	"684"	"18"	"100"	"120"	"100"	"2000"	"175"	"30027"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"135"	"???? ????"	"Przeklęty Szary Wilk"	"2"	"0"	"0"	"18"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"wolf"	"0"	"17"	"25"	"25"	"8"	"49"	"60"	"936"	"6"	"7"	"130"	"196"	"438"	"22"	"100"	"120"	"100"	"2000"	"175"	"30070"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.8"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"136"	"???? ?? ????"	"Przekl. Szary Alfa Wilk"	"3"	"0"	"0"	"21"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"wolf"	"0"	"33"	"17"	"17"	"8"	"42"	"78"	"1761"	"6"	"12"	"188"	"280"	"1020"	"26"	"100"	"120"	"100"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"137"	"???? ???"	"Przeklęty Dzik"	"2"	"0"	"0"	"12"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"wild_boar"	"0"	"35"	"17"	"26"	"9"	"30"	"56"	"610"	"6"	"7"	"92"	"139"	"294"	"16"	"100"	"120"	"100"	"2000"	"175"	"30004"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.8"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"138"	"???? ?? ???"	"Przeklęty Czerw. Dzik"	"3"	"0"	"0"	"15"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"wild_boar"	"0"	"35"	"18"	"26"	"9"	"44"	"53"	"1192"	"6"	"7"	"139"	"209"	"732"	"19"	"100"	"120"	"100"	"2000"	"175"	"30003"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"139"	"???? ?"	"Przeklęty Niedźw."	"2"	"0"	"0"	"17"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"bear"	"0"	"36"	"18"	"27"	"9"	"37"	"68"	"875"	"6"	"7"	"125"	"186"	"414"	"21"	"100"	"120"	"100"	"2000"	"175"	"30010"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.8"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"140"	"???? ???"	"Przekl. Niedźw. Grizzly"	"3"	"0"	"5"	"20"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"bear"	"0"	"36"	"19"	"27"	"9"	"52"	"64"	"1659"	"6"	"7"	"179"	"269"	"972"	"25"	"100"	"120"	"100"	"2000"	"175"	"30071"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"141"	"???? ???"	"Przeklęty Czar. Niedźw."	"2"	"0"	"5"	"24"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"bear"	"0"	"37"	"19"	"28"	"9"	"46"	"85"	"1342"	"6"	"7"	"168"	"252"	"582"	"29"	"100"	"120"	"100"	"2000"	"175"	"30053"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.8"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"142"	"???? ??"	"Przeklęty Brąz. Niedźw."	"3"	"0"	"5"	"26"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"bear"	"0"	"37"	"19"	"28"	"9"	"62"	"76"	"2342"	"4"	"12"	"227"	"340"	"1260"	"31"	"100"	"120"	"100"	"2000"	"175"	"30072"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"143"	"???? ???"	"Przeklęty Tygrys"	"2"	"0"	"4"	"24"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"tiger"	"0"	"28"	"38"	"19"	"9"	"52"	"79"	"1342"	"6"	"12"	"168"	"252"	"582"	"29"	"100"	"120"	"100"	"2000"	"175"	"30038"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.8"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"144"	"???? ??"	"Przeklęty Biały Tygrys"	"3"	"0"	"4"	"29"	"NONE"	"AGGR"	"0"	"ANIMAL"	"CURSE"	"0"	"tiger"	"0"	"39"	"30"	"20"	"10"	"53"	"98"	"2685"	"9"	"22"	"251"	"378"	"1404"	"34"	"100"	"120"	"100"	"2000"	"175"	"30023"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"16764159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"151"	"?? ???? ??"	"Cung-Mok"	"3"	"0"	"0"	"9"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"14"	"8"	"16"	"4"	"33"	"41"	"450"	"6"	"5"	"896"	"1568"	"100"	"19"	"80"	"100"	"25"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"13434828"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"152"	"?? ???? ??"	"Mu-Rang"	"3"	"0"	"0"	"16"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"23"	"24"	"12"	"6"	"45"	"55"	"800"	"8"	"10"	"1120"	"1904"	"200"	"31"	"80"	"130"	"25"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"13434828"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"153"	"?? ??? ??"	"Jug-Hyul"	"3"	"0"	"0"	"10"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"wild_boar"	"0"	"22"	"9"	"13"	"4"	"35"	"43"	"600"	"6"	"5"	"1344"	"2352"	"120"	"19"	"80"	"100"	"30"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"13434828"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"154"	"?? ??"	"Young-Ji"	"3"	"0"	"4"	"21"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"bear"	"0"	"35"	"15"	"23"	"8"	"54"	"66"	"1000"	"8"	"10"	"1568"	"2744"	"220"	"33"	"100"	"100"	"40"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"13434828"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"155"	"?? ??"	"Li-An"	"3"	"0"	"4"	"24"	"NONE"	"AGGR"	"0"	"ANIMAL"	""	"0"	"tiger"	"0"	"25"	"17"	"45"	"9"	"59"	"72"	"1200"	"15"	"20"	"1904"	"3360"	"250"	"36"	"100"	"130"	"50"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"13434828"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"171"	"??? ??"	"Głodny Zabłąkany Pies"	"0"	"0"	"0"	"1"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"stray_dog"	"0"	"3"	"6"	"5"	"2"	"24"	"29"	"101"	"6"	"7"	"20"	"31"	"11"	"4"	"100"	"100"	"0"	"2000"	"175"	"30347"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"16764108"	"70104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"172"	"??? ??"	"Głodny Wilk"	"0"	"0"	"0"	"3"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"4"	"9"	"7"	"2"	"28"	"34"	"129"	"6"	"7"	"25"	"38"	"27"	"6"	"100"	"100"	"25"	"2000"	"175"	"30028"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"16764108"	"70104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"173"	"??? ????"	"Głodny Alfa Wilk"	"0"	"0"	"0"	"4"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"8"	"5"	"10"	"3"	"30"	"36"	"145"	"6"	"7"	"28"	"42"	"36"	"7"	"100"	"130"	"25"	"2000"	"175"	"30069"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"16764108"	"70104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"174"	"??? ????"	"Głodny Nieb. Wilk"	"0"	"0"	"0"	"6"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"9"	"12"	"6"	"3"	"30"	"46"	"180"	"6"	"7"	"34"	"50"	"53"	"9"	"100"	"100"	"25"	"2000"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"16764108"	"70104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"175"	"??? ?? ????"	"Głodny Nieb. Alfa Wilk"	"0"	"0"	"0"	"9"	"NONE"	""	"0"	"ANIMAL"	""	"0"	"wolf"	"0"	"14"	"8"	"16"	"4"	"40"	"49"	"238"	"6"	"7"	"42"	"63"	"78"	"13"	"80"	"100"	"25"	"2000"	"175"	"30027"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"16764108"	"70104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
