"vnum"	"name"	"locale_name"	"type"	"subtype"	"stack"	"weight"	"size"	"antiflag"	"flag"	"wearflag"	"immuneflag"	"gold"	"shop_buy_price"	"refined_vnum"	"refine_set"	"magic_pct"	"specular"	"socket_pct"	"addon_type"	"limittype0"	"limitvalue0"	"limittype1"	"limitvalue1"	"applytype0"	"applyvalue0"	"applytype1"	"applyvalue1"	"applytype2"	"applyvalue2"	"value0"	"value1"	"value2"	"value3"	"value4"	"value5"	"socket0"	"socket1"	"socket2"	"socket3"	"socket4"	"socket5"
"18"	"µµ+8"	"Miecz+8"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"500"	"500"	"19"	"369"	"3"	"80"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"56"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"19"	"µµ+9"	"Miecz+9"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"750"	"750"	"0"	"0"	"3"	"100"	"1"	"0"	"1"	"0"	"0"	"0"	"17"	"22"	"0"	"0"	"0"	"0"	"0"	"15"	"19"	"13"	"15"	"63"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"20"	"Ŕĺ°Ë+0"	"Długi Miecz+0"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"400"	"400"	"21"	"361"	"3"	"0"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"21"	"Ŕĺ°Ë+1"	"Długi Miecz+1"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"500"	"500"	"22"	"362"	"3"	"0"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"7"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"22"	"Ŕĺ°Ë+2"	"Długi Miecz+2"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"500"	"500"	"23"	"363"	"3"	"0"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"14"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"23"	"Ŕĺ°Ë+3"	"Długi Miecz+3"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"500"	"500"	"24"	"364"	"3"	"0"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"21"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"24"	"Ŕĺ°Ë+4"	"Długi Miecz+4"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"500"	"500"	"25"	"365"	"3"	"30"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"28"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"25"	"Ŕĺ°Ë+5"	"Długi Miecz+5"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1000"	"1000"	"26"	"366"	"3"	"40"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"35"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"26"	"Ŕĺ°Ë+6"	"Długi Miecz+6"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1000"	"1000"	"27"	"370"	"3"	"50"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"42"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"27"	"Ŕĺ°Ë+7"	"Długi Miecz+7"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1500"	"1500"	"28"	"371"	"3"	"65"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"49"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"28"	"Ŕĺ°Ë+8"	"Długi Miecz+8"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"2000"	"2000"	"29"	"372"	"3"	"80"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"56"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"29"	"Ŕĺ°Ë+9"	"Długi Miecz+9"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"3000"	"3000"	"0"	"0"	"3"	"100"	"1"	"0"	"1"	"5"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"13"	"15"	"15"	"19"	"63"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"30"	"żůµµ+0"	"Sejmitar+0"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"600"	"600"	"31"	"373"	"3"	"0"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"31"	"żůµµ+1"	"Sejmitar+1"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"600"	"600"	"32"	"374"	"3"	"0"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"7"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"32"	"żůµµ+2"	"Sejmitar+2"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"600"	"600"	"33"	"375"	"3"	"0"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"14"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"33"	"żůµµ+3"	"Sejmitar+3"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1000"	"1000"	"34"	"376"	"3"	"0"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"21"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"34"	"żůµµ+4"	"Sejmitar+4"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1000"	"1000"	"35"	"377"	"3"	"30"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"28"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"35"	"żůµµ+5"	"Sejmitar+5"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1500"	"1500"	"36"	"378"	"3"	"40"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"35"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"36"	"żůµµ+6"	"Sejmitar+6"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1500"	"1500"	"37"	"379"	"3"	"50"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"42"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"37"	"żůµµ+7"	"Sejmitar+7"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"2000"	"2000"	"38"	"380"	"3"	"65"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"49"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"38"	"żůµµ+8"	"Sejmitar+8"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"3000"	"3000"	"39"	"381"	"3"	"80"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"56"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"39"	"żůµµ+9"	"Sejmitar+9"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"4500"	"4500"	"0"	"0"	"3"	"100"	"1"	"0"	"1"	"10"	"0"	"0"	"17"	"24"	"0"	"0"	"0"	"0"	"0"	"20"	"24"	"20"	"24"	"63"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"40"	"ĽĽ°Ë+0"	"Stożkowy Miecz+0"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"800"	"800"	"41"	"373"	"3"	"0"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"41"	"ĽĽ°Ë+1"	"Stożkowy Miecz+1"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1000"	"1000"	"42"	"374"	"3"	"0"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"7"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"42"	"ĽĽ°Ë+2"	"Stożkowy Miecz+2"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1000"	"1000"	"43"	"375"	"3"	"0"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"14"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"43"	"ĽĽ°Ë+3"	"Stożkowy Miecz+3"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1000"	"1000"	"44"	"376"	"3"	"0"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"21"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"44"	"ĽĽ°Ë+4"	"Stożkowy Miecz+4"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1500"	"1500"	"45"	"377"	"3"	"30"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"28"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"45"	"ĽĽ°Ë+5"	"Stożkowy Miecz+5"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"1500"	"1500"	"46"	"378"	"3"	"40"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"35"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"46"	"ĽĽ°Ë+6"	"Stożkowy Miecz+6"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"2000"	"2000"	"47"	"382"	"3"	"50"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"42"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"47"	"ĽĽ°Ë+7"	"Stożkowy Miecz+7"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"3000"	"3000"	"48"	"383"	"3"	"65"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"49"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"48"	"ĽĽ°Ë+8"	"Stożkowy Miecz+8"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"4000"	"4000"	"49"	"384"	"3"	"80"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"56"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"49"	"ĽĽ°Ë+9"	"Stożkowy Miecz+9"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"6000"	"6000"	"0"	"0"	"3"	"100"	"1"	"0"	"1"	"15"	"0"	"0"	"17"	"21"	"0"	"0"	"0"	"0"	"0"	"25"	"35"	"22"	"26"	"63"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"50"	"ł¶ľĆµµ+0"	"Szeroki Miecz+0"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"3000"	"3000"	"51"	"1"	"3"	"0"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"51"	"ł¶ľĆµµ+1"	"Szeroki Miecz+1"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"3500"	"3500"	"52"	"2"	"3"	"0"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"7"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"52"	"ł¶ľĆµµ+2"	"Szeroki Miecz+2"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"3500"	"3500"	"53"	"3"	"3"	"0"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"14"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"53"	"ł¶ľĆµµ+3"	"Szeroki Miecz+3"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"4000"	"4000"	"54"	"4"	"3"	"0"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"21"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"54"	"ł¶ľĆµµ+4"	"Szeroki Miecz+4"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"5000"	"5000"	"55"	"5"	"3"	"30"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"28"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"55"	"ł¶ľĆµµ+5"	"Szeroki Miecz+5"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"6500"	"6500"	"56"	"6"	"3"	"40"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"35"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"56"	"ł¶ľĆµµ+6"	"Szeroki Miecz+6"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"8000"	"8000"	"57"	"7"	"3"	"50"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"42"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"57"	"ł¶ľĆµµ+7"	"Szeroki Miecz+7"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"11000"	"11000"	"58"	"8"	"3"	"65"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"49"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"58"	"ł¶ľĆµµ+8"	"Szeroki Miecz+8"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"15500"	"15500"	"59"	"9"	"3"	"80"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"56"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"59"	"ł¶ľĆµµ+9"	"Szeroki Miecz+9"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"23000"	"23000"	"0"	"0"	"3"	"100"	"1"	"0"	"1"	"20"	"0"	"0"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"20"	"28"	"25"	"35"	"63"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"60"	"Ŕş°Ë+0"	"Srebrny Miecz+0"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"5000"	"5000"	"61"	"595"	"20"	"0"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"61"	"Ŕş°Ë+1"	"Srebrny Miecz+1"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"5500"	"5500"	"62"	"596"	"20"	"0"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"6"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"62"	"Ŕş°Ë+2"	"Srebrny Miecz+2"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"6000"	"6000"	"63"	"597"	"20"	"0"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"12"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"63"	"Ŕş°Ë+3"	"Srebrny Miecz+3"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"7000"	"7000"	"64"	"598"	"20"	"0"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"18"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"64"	"Ŕş°Ë+4"	"Srebrny Miecz+4"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"8500"	"8500"	"65"	"599"	"20"	"30"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"24"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"65"	"Ŕş°Ë+5"	"Srebrny Miecz+5"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"10500"	"10500"	"66"	"600"	"20"	"40"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"32"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"66"	"Ŕş°Ë+6"	"Srebrny Miecz+6"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"13500"	"13500"	"67"	"601"	"20"	"50"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"41"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"67"	"Ŕş°Ë+7"	"Srebrny Miecz+7"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"18500"	"18500"	"68"	"602"	"20"	"65"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"51"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"68"	"Ŕş°Ë+8"	"Srebrny Miecz+8"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"25500"	"25500"	"69"	"603"	"20"	"80"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"62"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"69"	"Ŕş°Ë+9"	"Srebrny Miecz+9"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"38500"	"38500"	"0"	"0"	"20"	"100"	"2"	"0"	"1"	"25"	"0"	"0"	"17"	"30"	"0"	"0"	"0"	"0"	"0"	"38"	"52"	"36"	"46"	"74"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"70"	"ż¬°Ë+0"	"Miecz Storczykowy+0"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"8000"	"8000"	"71"	"595"	"20"	"0"	"2"	"0"	"1"	"32"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"38"	"48"	"43"	"56"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"71"	"ż¬°Ë+1"	"Miecz Storczykowy+1"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"9000"	"9000"	"72"	"596"	"20"	"0"	"2"	"0"	"1"	"32"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"38"	"48"	"43"	"56"	"7"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"72"	"ż¬°Ë+2"	"Miecz Storczykowy+2"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"9500"	"9500"	"73"	"597"	"20"	"0"	"2"	"0"	"1"	"32"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"38"	"48"	"43"	"56"	"12"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"73"	"ż¬°Ë+3"	"Miecz Storczykowy+3"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"11000"	"11000"	"74"	"598"	"20"	"0"	"2"	"0"	"1"	"32"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"38"	"48"	"43"	"56"	"19"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"74"	"ż¬°Ë+4"	"Miecz Storczykowy+4"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"13500"	"13500"	"75"	"599"	"20"	"30"	"2"	"0"	"1"	"32"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"38"	"48"	"43"	"56"	"25"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"75"	"ż¬°Ë+5"	"Miecz Storczykowy+5"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"16500"	"16500"	"76"	"600"	"20"	"40"	"2"	"0"	"1"	"32"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"38"	"48"	"43"	"56"	"33"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"76"	"ż¬°Ë+6"	"Miecz Storczykowy+6"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"21500"	"21500"	"77"	"604"	"20"	"50"	"2"	"0"	"1"	"32"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"38"	"48"	"43"	"56"	"43"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
"77"	"ż¬°Ë+7"	"Miecz Storczykowy+7"	"1"	"0"	"200"	"0"	"2"	"32"	"1"	"16"	""	"29500"	"29500"	"78"	"605"	"20"	"65"	"2"	"0"	"1"	"32"	"0"	"0"	"17"	"27"	"0"	"0"	"0"	"0"	"0"	"38"	"48"	"43"	"56"	"53"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"
